------ Sensor Log Start -------------
04:18:40:00 2175 1461 1670 1690
04:18:30:00 2175 1457 1664 1690
04:18:20:00 2179 1450 1660 1690
04:18:10:00 2177 1449 1661 1687
04:18:00:00 2178 1441 1656 1687
04:17:50:00 2180 1427 1662 1688
04:17:40:00 2179 1431 1654 1691
04:17:30:00 2175 1411 1650 1675
04:17:20:00 2173 1403 1636 1680
04:17:10:00 2174 1397 1637 1682
04:17:00:00 2180 1391 1625 1680
04:16:50:00 2179 1379 1631 1672
04:16:40:00 2176 1379 1629 1670
04:16:30:00 2172 1370 1619 1670
04:16:20:00 2179 1368 1615 1672
04:16:10:00 2172 1356 1604 1666
04:16:00:00 2182 1352 1596 1665
04:15:50:00 2174 1344 1611 1661
04:15:40:00 2176 1340 1620 1669
04:15:30:00 2178 1330 1642 1685
04:15:20:00 2186 1320 1719 1719
04:15:10:00 2181 1305 1713 1712
04:15:00:00 2189 1305 1713 1700
04:14:50:00 2187 1286 1705 1688
04:14:40:00 2199 1279 1623 1638
04:14:30:00 2188 1274 1684 1640
04:14:20:00 2206 1267 1705 1636
04:14:10:00 2206 1270 1698 1628
04:14:00:00 2212 1269 1683 1621
04:13:50:00 2208 1273 1669 1608
04:13:40:00 2214 1267 1679 1609
04:13:30:00 2207 1258 1665 1603
04:13:20:00 2217 1249 1650 1598
04:13:10:00 2217 1281 1639 1595
04:13:00:00 2220 1719 1643 1586
04:12:50:00 2213 1716 1627 1588
04:12:40:00 2201 1701 1622 1582
04:12:30:00 2206 1696 1619 1578
04:12:20:00 2197 1681 1601 1560
04:12:10:00 2192 1676 1597 1558
04:12:00:00 2188 1675 1614 1558
04:11:50:00 2186 1661 1614 1552
04:11:40:00 2187 1663 1621 1540
04:11:30:00 2173 1660 1623 1532
04:11:20:00 2181 1657 1615 1527
04:11:10:00 2179 1655 1605 1522
04:11:00:00 2165 1645 1601 1519
04:10:50:00 2168 1650 1604 1512
04:10:40:00 2158 1632 1592 1502
04:10:30:00 2159 1630 1596 1499
04:10:20:00 2156 1633 1599 1496
04:10:10:00 2153 1623 1597 1490
04:10:00:00 2156 1619 1588 1481
04:09:50:00 2144 1612 1587 1481
04:09:40:00 2139 1597 1583 1478
04:09:30:00 2130 1600 1587 1492
04:09:20:00 2134 1582 1574 1491
04:09:10:00 2127 1588 1576 1474
04:09:00:00 2135 1585 1572 1470
04:08:50:00 2120 1577 1577 1460
04:08:40:00 2106 1569 1571 1439
04:08:30:00 2114 1563 1569 1441
04:08:20:00 2097 1563 1567 1428
04:08:10:00 2100 1553 1568 1425
04:08:00:00 2099 1545 1558 1417
04:07:50:00 2093 1542 1565 1415
04:07:40:00 2090 1536 1563 1412
04:07:30:00 2088 1529 1565 1407
04:07:20:00 2089 1534 1560 1407
04:07:10:00 2086 1537 1559 1403
04:07:00:00 2023 1530 1558 1408
04:06:50:00 2087 1528 1558 1401
04:06:40:00 2088 1525 1561 1402
04:06:30:00 2099 1529 1560 1406
04:06:20:00 2093 1524 1557 1395
04:06:10:00 2092 1524 1558 1396
04:06:00:00 2086 1521 1560 1390
04:05:50:00 2100 1522 1555 1394
04:05:40:00 2099 1526 1556 1393
04:05:30:00 2096 1524 1557 1393
04:05:20:00 2102 1523 1564 1386
04:05:10:00 2099 1521 1556 1390
04:05:00:00 2094 1524 1555 1389
04:04:50:00 2101 1521 1555 1386
04:04:40:00 2109 1520 1558 1381
04:04:30:00 2110 1520 1562 1383
04:04:20:00 2103 1519 1557 1385
04:04:10:00 2109 1516 1557 1381
04:04:00:00 2104 1523 1557 1371
04:03:50:00 2115 1524 1554 1376
04:03:40:00 2106 1520 1555 1376
04:03:30:00 2110 1520 1560 1370
04:03:20:00 2109 1519 1556 1369
04:03:10:00 2110 1523 1557 1368
04:03:00:00 2108 1522 1565 1372
04:02:50:00 2112 1513 1559 1364
04:02:40:00 2122 1519 1563 1363
04:02:30:00 2117 1523 1561 1360
04:02:20:00 2117 1519 1566 1360
04:02:10:00 2117 1519 1554 1358
04:02:00:00 2117 1515 1560 1356
04:01:50:00 2118 1524 1557 1349
04:01:40:00 2119 1513 1558 1351
04:01:30:00 2121 1520 1557 1344
04:01:20:00 2127 1517 1553 1343
04:01:10:00 2125 1516 1558 1335
04:01:00:00 2132 1520 1559 1330
04:00:50:00 2137 1516 1559 1333
04:00:40:00 2135 1517 1559 1323
04:00:30:00 2126 1517 1560 1319
04:00:20:00 2073 1519 1558 1305
04:00:10:00 2131 1520 1562 1298
04:00:00:00 2140 1518 1553 1291
03:23:50:00 2142 1524 1556 1279
03:23:40:00 2142 1520 1556 1267
03:23:30:00 2142 1517 1557 1250
03:23:20:00 2140 1523 1556 1242
03:23:10:00 2139 1520 1552 1223
03:23:00:00 2147 1520 1563 1201
03:22:50:00 2159 1522 1558 1157
03:22:40:00 2148 1524 1558 1696
03:22:30:00 2157 1524 1563 1698
03:22:20:00 2148 1526 1560 1693
03:22:10:00 2149 1526 1555 1699
03:22:00:00 2163 1534 1560 1698
03:21:50:00 2158 1532 1559 1697
03:21:40:00 2162 1529 1567 1700
03:21:30:00 2170 1539 1558 1701
03:21:20:00 2171 1540 1557 1698
03:21:10:00 2171 1540 1563 1698
03:21:00:00 2165 1548 1557 1697
03:20:50:00 2168 1544 1566 1707
03:20:40:00 2179 1540 1559 1703
03:20:30:00 2167 1546 1554 1696
03:20:20:00 2184 1550 1556 1702
03:20:10:00 2175 1553 1557 1695
03:20:00:00 2177 1552 1557 1700
03:19:50:00 2179 1550 1556 1694
03:19:40:00 2183 1551 1557 1693
03:19:30:00 2178 1556 1558 1695
03:19:20:00 2186 1551 1543 1698
03:19:10:00 2187 1554 1559 1692
03:19:00:00 2182 1546 1556 1697
03:18:50:00 2189 1552 1561 1697
03:18:40:00 2186 1555 1554 1691
03:18:30:00 2190 1551 1554 1689
03:18:20:00 2185 1548 1546 1685
03:18:10:00 2197 1551 1557 1681
03:18:00:00 2187 1551 1547 1676
03:17:50:00 2186 1542 1551 1687
03:17:40:00 2196 1544 1551 1689
03:17:30:00 2189 1531 1543 1677
03:17:20:00 2190 1529 1540 1681
03:17:10:00 2185 1531 1528 1682
03:17:00:00 2183 1520 1535 1672
03:16:50:00 2187 1522 1524 1671
03:16:40:00 2180 1524 1527 1669
03:16:30:00 2183 1535 1528 1667
